SITE|BIB_REF|PAGES|ILLUSTRATE|PHOTO|DRAWING|MAP|VALUE
HLAND|Macalister/1945|50--51||no|no|no|cdisc
HTOWN|Brindley/Kilfeather/1993|60||no|no|no|minor
ICLTA|Macalister/1916|93--174, Plate VII-XXVIII||yes|yes|yes|sdisc
ICLTA|Macalister/1949|88||no|no|no|minor
IMRRY|Edwards/1990|118--120||yes|no|yes|cdisc
IMRRY|Macalister/1949|19||no|no|no|cdisc
INAGH|Macalister/1945|219--220||no|no|no|minor
INBOF|Macalister/1949|79||no|no|no|minor
INCHA|Gippert/Web|Ogham 1||no|no|no|sdisc
INCHA|Macalister/1945|1-3|no|no|no|no|minor
INCHY|Forsyth/1996|333--336||no|no|no|sdisc
INCLO|Macalister/1949|29||no|no|no|cdisc
INDQS|Macalister/1945|452--453|none|no|no|no|sdisc
INDQS|Okasha/1993|122|none|no|no|no|sdisc
INDRE|Costa/1964|no. 241||no|no|no|cdisc
INDRE|Le Blant/1865|558||no|no|no|minor
INVIC|Cuppage/etal/1986|298--301, Plate XVIIb||yes|no|yes|cdisc
INVIC|Macalister/1945|178--179||no|no|no|minor
ISLAN|Macalister/1945|5|drawing|no|yes|no|cdisc
ITNNG|Cuppage/etal/1986|293--297, Figs. 172-173||yes|yes|yes|sdisc
JRDNS|Macalister/1945|413||no|no|no|minor
KBRCN|Macalister/1949|5||no|no|no|cdisc
KBRCN|Waddell/1972-3|7--27||inc|inc|inc|inc
KCMMN|Macalister/1949|13--14||no|yes|no|cdisc
KDEAS|Macalister/1949|123||no|no|no|minor
KEELW|McManus/1991|73||no|no|no|minor
KEELW|Raftery/1960|33||inc|inc|no|minor
KEENH|Macalister/1945|78--79||no|no|no|minor
KELLS|Moore/1987|146||no|no|yes|cdisc
KENFG|Anon/1928|374||no|no|no|minor
KFNTN|Cuppage/etal/1986|302--304||yes|no|yes|sdisc
KFNTN|Macalister/1945|179--180||no|no|no|minor
KILEG|Macalister/1945|49--50||no|no|no|minor
KILMA|Macalister/1945|6--7|several|no|yes|no|cdisc
KILTH|Macalister/1945|109||no|no|no|minor
KINET|Cuppage/etal/1986|328||no|no|no|cdisc
KIOLA|Macalister/1949|112||no|no|no|cdisc
KIOLA|Petrie/1878|73||no|no|no|cdisc
KLBON|Macalister/1945|235||no|no|no|minor
KLCAS|Macalister/1945|72--73||no|no|no|minor
KLCOO|Gippert/Web|206||yes|no|no|cdisc
KLCOO|Macalister/1945|200||no|no|no|minor
KLCOO|Macalister/1949|125||no|no|no|minor
KLCOO|O'Sullivan/Sheehan/1996|292||no|no|no|cdisc
KLGOB|Macalister/1945|205--208||no|no|no|sdisc
KLGOB|O'Sullivan/Sheehan/1996|161||no|no|no|cdisc
KLGRO|Macalister/1945|227--229||no|no|no|minor
KLGRO|O'Sullivan/Sheehan/1996|299--302||no|no|yes|cdisc
KLGRV|Macalister/1945|280--281||yes|no|no|cdisc
KLKEE|Macalister/1945|227||no|no|no|cdisc
KLLAG|OSullivan/Sheehan/1996|298-299||no|no|no|cdisc
